# Dépenses fiscales (« niches ») — annexe Voies et Moyens tome II, PLF 2023.
#
# POURQUOI CE FICHIER : c'est la part de l'argent public qui « sort » sans
# bénéficiaire nominatif — l'État en connaît le coût PAR DISPOSITIF mais ne
# publie (et souvent ne connaît) aucun bénéficiaire ligne à ligne. Ce fichier
# alimente la décomposition de l'estimation affichée sur l'accueil.
#
# Source officielle : PLF 2023, Évaluation des Voies et Moyens tome II,
# publié sur data.economie.gouv.fr (dataset
# plf2023_voies_et_moyens_t2_liste_des_depenses_fiscales, XLSX joint,
# onglets « Chiffrages » et « Bénéficiaires » fusionnés par numéro).
# DERNIER MILLÉSIME MACHINE-READABLE : le PLF 2024 ne publie que la liste
# sans chiffrage, les PLF 2025-2026 uniquement des PDF (constat 2026-07-04).
#
# Montants en MILLIONS d'euros. Légende officielle : « - » = aucun effet,
# « ε » = < 0,5 M€, « nc » = non calculé. La colonne la plus complète est la
# réalisation 2021 (333 dispositifs chiffrés sur 465).
impot_categorie;sous_categorie;sous_sous_categorie;numero;libelle;chiffrage_2021_realisation_Meur;chiffrage_2022_prevision_Meur;chiffrage_2023_prevision_Meur;beneficiaires_nature;beneficiaires_nombre
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110109;Demi-part supplémentaire ou quart de part supplémentaire en cas de résidence alternée, par enfant à charge titulaire de la carte d'invalidité ou part supplémentaire par personne rattachée au foyer fiscal titulaire de la carte d'invalidité;154;158;158;Ménages;311062
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110110;Demi-part supplémentaire, ou quart de part supplémentaire en cas de résidence alternée des enfants à charge, accordée aux parents isolés;712;793;793;Ménages;1723961
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110201;Réduction d'impôt au titre des dons;1620;1745;1745;Ménages;5166156
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110202;Crédit d'impôt au titre des cotisations versées aux organisations syndicales représentatives de salariés et aux associations professionnelles nationales de militaires;145;144;144;Ménages;1298903
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110203;Crédit d'impôt pour frais de garde des enfants âgés de moins de 6 ans;1118;1264;1264;Ménages;1808571
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110205;Réduction d'impôt au titre des primes des contrats de rente survie et des contrats d'épargne handicap;7;7;7;Ménages;37115
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110210;Réduction d’impôt au titre des investissements locatifs et de la souscription au capital de certaines sociétés réalisés jusqu’au 31/12/2017 et au titre des travaux de réhabilitation de logements réalisés jusqu’au 31/12/2023, dans les départements d'outre-mer, a Saint-Pierre-et-Miquelon, en Nouvelle-Calédonie, en Polynésie française, dans les iles Wallis et Futuna et les Terres australes et antarctiques françaises;43;34;34;Ménages;13680
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110211;Réduction d'impôt pour frais de comptabilité et d'adhésion à un centre de gestion ou une association agréés;112;123;123;Entreprises;231382
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110213;Réduction d'impôt au titre des frais de dépendance et d'hébergement pour les personnes dépendantes accueillies en établissement spécialisé;271;272;272;Ménages;423827
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110215;Réduction d'impôt pour frais de scolarité dans l'enseignement secondaire;213;220;220;Ménages;3050215
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110216;Réduction d'impôt au titre des souscriptions en numéraire au capital initial ou aux augmentations de capital de PME [européennes];61;61;61;Ménages;42465
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110218;Réduction d'impôt au titre de la souscription de parts de fonds communs de placement dans l'innovation (FCPI);48;58;58;Ménages;28472
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110222;Crédit d'impôt pour la transition énergétique;308;100;-;Ménages;275000
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110223;Réduction d'impôt au titre de la prestation compensatoire versée en tout ou partie sous forme d'argent ou d'attributions de biens ou de droits ou sous forme de capital se substituant à des rentes;54;53;53;Ménages;21038
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110224;Réduction d'impôt sur le revenu à raison des investissements productifs réalisés dans les départements et collectivités d'outre-mer;462;589;589;Ménages;30525
Impôt sur le revenu;Calcul de l'impôt;Réductions d'impôt et crédits d'impôt;110226;Réduction d'impôt sur le revenu pour investissements et cotisations d'assurance de bois et forêts jusqu'au 31 décembre 2022;4;4;4;Entreprises et ménages;9510
